Buchungen,Row,Error,Unique,Base Row,SysCode,Sektion,Datum,DatumBeleg,DatumValuta,Beleg,BelegProtokoll,BelegTyp,BelegOriginal,RechnungBeleg,RechnungAusgedruckt,DokLink,ExterneReferenz,Beschreibung,Bemerkungen,KontoSoll,KontoSollBeschr,KontoHaben,KontoHabenBeschr,Betrag,Saldo,MwStCode,MwStArtBetrag,MwStZusatzInfo,MwStUStProz,MwStProzentEffektiv,MwStSteuerbar,MwStBetrag,MwStKonto,MwStKontoBeschr,MwStProzentNichtAbziehbar,MwStNichtAbziehbar,MwStBuch,MwStUStNummer,KS1,KS1Beschr,KS2,KS2Beschr,KS3,KS3Beschr,Segment,DatumFälligkeit,DatumErwartet,DatumZahl,SperreNr,SperreBetrag,SperreFortlaufend,SperreZeile
,21,0,0,0,,,2024-01-10T00:00:00.000,,,22,,,,,,,,Cornercard,,1120,KK Selda Aksoy,1020,Bankguthaben,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,0,0,0,,,2024-01-10T00:00:00.000,,,23,,,,,,,,Isa Aksoy,,5000,Lohnaufwand,1020,Bankguthaben,6000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0,0,0,,,2024-01-12T00:00:00.000,,,24,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,153.05,,I81,,,8.10,8.10,141.58,11.47,2200,Umsatzsteuer (UST),,,11.47,,,,,,,,,,,,,,,
,24,0,0,0,,,2024-01-12T00:00:00.000,,,25,,,,,,,,"Gasser Haustechnik, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,2369.40,,V81,,,-8.10,-8.10,2191.86,-177.54,2200,Umsatzsteuer (UST),,,-177.54,,,,,,,,,,,,,,,
,25,0,0,0,,,2024-01-15T00:00:00.000,,,26,,,,,,,,"Bayar GmbH, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,1561.65,,V81,,,-8.10,-8.10,1444.63,-117.02,2200,Umsatzsteuer (UST),,,-117.02,,,,,,,,,,,,,,,
,26,0,0,0,,,2024-01-15T00:00:00.000,,,27,,,,,,,,"Bayar GmbH, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,1642.43,,V81,,,-8.10,-8.10,1519.36,-123.07,2200,Umsatzsteuer (UST),,,-123.07,,,,,,,,,,,,,,,
,27,0,0,0,,,2024-01-15T00:00:00.000,,,28,,,,,,,,"Bayar GmbH, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,1992.45,,V81,,,-8.10,-8.10,1843.15,-149.30,2200,Umsatzsteuer (UST),,,-149.30,,,,,,,,,,,,,,,
,28,0,0,0,,,2024-01-15T00:00:00.000,,,29,,,,,,,,"Bayar GmbH, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,2746.35,,V81,,,-8.10,-8.10,2540.56,-205.79,2200,Umsatzsteuer (UST),,,-205.79,,,,,,,,,,,,,,,
,29,0,0,0,,,2024-01-16T00:00:00.000,,,30,,,,,,,,"Socar, Ts",,6210,Betriebsstoffe,1020,Bankguthaben,109.45,,I81,,,8.10,8.10,101.25,8.20,2200,Umsatzsteuer (UST),,,8.20,,,,,,,,,,,,,,,
,30,0,0,0,,,2024-01-17T00:00:00.000,,,31,,,,,,,,Isowelt Mat.,,4000,Materialaufwand Produktion,1020,Bankguthaben,486.45,,M81,,,8.10,8.10,450.00,36.45,2200,Umsatzsteuer (UST),,,36.45,,,,,,,,,,,,,,,
,31,0,0,0,,,2024-01-17T00:00:00.000,,,32,,,,,,,,Cornercard,,1120,KK Selda Aksoy,1020,Bankguthaben,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,0,0,0,,,2024-01-18T00:00:00.000,,,33,,,,,,,,Apple Store,,6922,AB Büromaschinen / EDV,1020,Bankguthaben,1112.05,,I81,,,8.10,8.10,1028.72,83.33,2200,Umsatzsteuer (UST),,,83.33,,,,,,,,,,,,,,,
,33,0,0,0,,,2024-01-19T00:00:00.000,,,34,,,,,,,,Coop,,5820,Spesen,1020,Bankguthaben,34.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,0,0,0,,,2024-01-19T00:00:00.000,,,35,,,,,,,,"Schneider Unweltservice, Entsorgung",,6460,Entsorgungsaufwand,1020,Bankguthaben,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,0,0,0,,,2024-01-19T00:00:00.000,,,36,,,,,,,,Allianz,,5720,Berufliche Vorsorge,1020,Bankguthaben,203.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,0,0,0,,,2024-01-22T00:00:00.000,,,37,,,,,,,,Obi,,4000,Materialaufwand Produktion,1020,Bankguthaben,28.45,,M81,,,8.10,8.09,26.32,2.13,2200,Umsatzsteuer (UST),,,2.13,,,,,,,,,,,,,,,
,37,0,0,0,,,2024-01-22T00:00:00.000,,,38,,,,,,,,Viva,,5820,Spesen,1020,Bankguthaben,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,0,0,0,,,2024-01-22T00:00:00.000,,,39,,,,,,,,Coop,,5820,Spesen,1020,Bankguthaben,32.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,0,0,0,,,2024-01-22T00:00:00.000,,,40,,,,,,,,"Shell, TS",,6210,Betriebsstoffe,1020,Bankguthaben,150.76,,I81,,,8.10,8.10,139.46,11.30,2200,Umsatzsteuer (UST),,,11.30,,,,,,,,,,,,,,,
,40,0,0,0,,,2024-01-23T00:00:00.000,,,41,,,,,,,,Jumbo,,4000,Materialaufwand Produktion,1020,Bankguthaben,49.95,,M81,,,8.10,8.09,46.21,3.74,2200,Umsatzsteuer (UST),,,3.74,,,,,,,,,,,,,,,
,41,0,0,0,,,2024-01-23T00:00:00.000,,,42,,,,,,,,"McDonalds, Spesen",,5820,Spesen,1020,Bankguthaben,50.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,0,0,0,,,2024-01-23T00:00:00.000,,,43,,,,,,,,Autocenter von Rotz,,6200,"Reparaturen, Service Fahrzeuge",1020,Bankguthaben,8670.15,,I81,,,8.10,8.10,8020.49,649.66,2200,Umsatzsteuer (UST),,,649.66,,,,,,,,,,,,,,,
,43,0,0,0,,,2024-01-24T00:00:00.000,,,44,,,,,,,,"Gasser Haustechnik, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,2164.27,,V81,,,-8.10,-8.10,2002.10,-162.17,2200,Umsatzsteuer (UST),,,-162.17,,,,,,,,,,,,,,,
,44,0,0,0,,,2024-01-24T00:00:00.000,,,45,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,50.26,,I81,,,8.10,8.11,46.49,3.77,2200,Umsatzsteuer (UST),,,3.77,,,,,,,,,,,,,,,
,45,0,0,0,,,2024-01-25T00:00:00.000,,,46,,,,,,,,Itb treuhand ag,,6530,Buchführung und Beratungsaufwand,1020,Bankguthaben,987.40,,I81,,,8.10,8.10,913.41,73.99,2200,Umsatzsteuer (UST),,,73.99,,,,,,,,,,,,,,,
,46,0,0,0,,,2024-01-26T00:00:00.000,,,47,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,68.26,,I81,,,8.10,8.09,63.15,5.11,2200,Umsatzsteuer (UST),,,5.11,,,,,,,,,,,,,,,
,47,0,0,0,,,2024-01-26T00:00:00.000,,,48,,,,,,,,"Wincasa, Miete Lager",,6006,"Mietzins, Garage, Parkplätze",1020,Bankguthaben,270.30,,I81,,,8.10,8.10,250.05,20.25,2200,Umsatzsteuer (UST),,,20.25,,,,,,,,,,,,,,,
,48,0,0,0,,,2024-01-26T00:00:00.000,,,49,,,,,,,,Swiss Life,,5720,Berufliche Vorsorge,1020,Bankguthaben,300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0,0,0,,,2024-01-26T00:00:00.000,,,50,,,,,,,,"Sarah Mäder, Miete Lager",,6000,Raumaufwand,1020,Bankguthaben,350.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,0,0,0,,,2024-01-26T00:00:00.000,,,51,,,,,,,,"ChaDev, Chad Saglam",,6570,"EDV Updates, Lizenzen, Wartung",1020,Bankguthaben,750.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,0,0,0,,,2024-01-26T00:00:00.000,,,52,,,,,,,,"Cembra Money, Leasing",,6260,"Fahrzeugleasing, Fahrzeugmiete",1020,Bankguthaben,770.60,,I81,,,8.10,8.10,712.86,57.74,2200,Umsatzsteuer (UST),,,57.74,,,,,,,,,,,,,,,
,52,0,0,0,,,2024-01-28T00:00:00.000,,,53,,,,,,,,"Agrola, TS",,6260,"Fahrzeugleasing, Fahrzeugmiete",1020,Bankguthaben,58.54,,I81,,,8.10,8.11,54.15,4.39,2200,Umsatzsteuer (UST),,,4.39,,,,,,,,,,,,,,,
,53,0,0,0,,,2024-01-29T00:00:00.000,,,54,,,,,,,,Ts Garage,,6200,"Reparaturen, Service Fahrzeuge",1020,Bankguthaben,9.80,,I81,,,8.10,8.05,9.07,0.73,2200,Umsatzsteuer (UST),,,0.73,,,,,,,,,,,,,,,
,54,0,0,0,,,2024-01-29T00:00:00.000,,,55,,,,,,,,Obi,,4000,Materialaufwand Produktion,1020,Bankguthaben,128.80,,M81,,,8.10,8.10,119.15,9.65,2200,Umsatzsteuer (UST),,,9.65,,,,,,,,,,,,,,,
,55,0,0,0,,,2024-01-29T00:00:00.000,,,56,,,,,,,,EKZ,,6400,"Strom, Wasser, Brennstoffe",1020,Bankguthaben,302.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,0,0,0,,,2024-01-29T00:00:00.000,,,57,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,404.85,,M81,,,8.10,8.10,374.51,30.34,2200,Umsatzsteuer (UST),,,30.34,,,,,,,,,,,,,,,
,57,0,0,0,,,2024-01-29T00:00:00.000,,,58,,,,,,,,"ESTV, MWST",,2205,Geschuldete MWST (Umsatzsteuer),1020,Bankguthaben,2989.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,0,0,0,,,2024-01-30T00:00:00.000,,,59,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,254.90,,M81,,,8.10,8.10,235.80,19.10,2200,Umsatzsteuer (UST),,,19.10,,,,,,,,,,,,,,,
,59,0,0,0,,,2024-01-31T00:00:00.000,,,60,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,213.10,,M81,,,8.10,8.10,197.13,15.97,2200,Umsatzsteuer (UST),,,15.97,,,,,,,,,,,,,,,
,60,0,0,0,,,2024-01-31T00:00:00.000,,,,,,,,,,,Mietanteil (Jan),,6006,"Mietzins, Garage, Parkplätze",1020,Bankguthaben,665.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,0,0,0,,,2024-01-31T00:00:00.000,,,61,,,,,,,,"Gasser Haustechnik, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,1400.00,,V81,,,-8.10,-8.10,1295.10,-104.90,2200,Umsatzsteuer (UST),,,-104.90,,,,,,,,,,,,,,,
,62,0,0,0,,,2024-02-01T00:00:00.000,,,62,,,,,,,,Coop,,5820,Spesen,1020,Bankguthaben,35.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,0,0,0,,,2024-02-02T00:00:00.000,,,63,,,,,,,,Sunrise,,6510,"Telefon, Fax, Internet",1020,Bankguthaben,111.25,,I81,,,8.10,8.10,102.91,8.34,2200,Umsatzsteuer (UST),,,8.34,,,,,,,,,,,,,,,
,64,0,0,0,,,2024-02-02T00:00:00.000,,,64,,,,,,,,Isa Aksoy Februar,,5000,Lohnaufwand,1020,Bankguthaben,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,0,0,0,,,2024-02-04T00:00:00.000,,,65,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,53.93,,I81,,,8.10,8.10,49.89,4.04,2200,Umsatzsteuer (UST),,,4.04,,,,,,,,,,,,,,,
,66,0,0,0,,,2024-02-05T00:00:00.000,,,66,,,,,,,,Bezug,,5820,Spesen,1020,Bankguthaben,1200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,0,0,0,,,2024-02-05T00:00:00.000,,,67,,,,,,,,Strasessenverkehrsamt Kanton ZH,,6230,"Verkehrsabgaben, Gebühren",1020,Bankguthaben,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,0,0,0,,,2024-02-05T00:00:00.000,,,68,,,,,,,,"Iso Trade, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,160.85,,M81,,,8.10,8.10,148.80,12.05,2200,Umsatzsteuer (UST),,,12.05,,,,,,,,,,,,,,,
,69,0,0,0,,,2024-02-05T00:00:00.000,,,69,,,,,,,,"Socar, Ts",,6210,Betriebsstoffe,1020,Bankguthaben,170.74,,I81,,,8.10,8.10,157.95,12.79,2200,Umsatzsteuer (UST),,,12.79,,,,,,,,,,,,,,,
,70,0,0,0,,,2024-02-09T00:00:00.000,,,70,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,105.15,,M81,,,8.10,8.10,97.27,7.88,2200,Umsatzsteuer (UST),,,7.88,,,,,,,,,,,,,,,
,71,0,0,0,,,2024-02-09T00:00:00.000,,,71,,,,,,,,"Mobiliar, FZ Vers.",,6220,Fahrzeugversicherung,1020,Bankguthaben,1941.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,0,0,0,,,2024-02-10T00:00:00.000,,,72,,,,,,,,Jumbo,,4000,Materialaufwand Produktion,1020,Bankguthaben,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,0,0,0,,,2024-02-12T00:00:00.000,,,73,,,,,,,,Interdiscount,,6500,Büromaterial und Drucksachen,1020,Bankguthaben,59.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,0,0,0,,,2024-02-12T00:00:00.000,,,74,,,,,,,,"Iso Trade, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,87.05,,M81,,,8.10,8.10,80.53,6.52,2200,Umsatzsteuer (UST),,,6.52,,,,,,,,,,,,,,,
,75,0,0,0,,,2024-02-13T00:00:00.000,,,75,,,,,,,,Burger King,,5820,Spesen,1020,Bankguthaben,35.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,0,0,0,,,2024-02-13T00:00:00.000,,,76,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,417.20,,M81,,,8.10,8.10,385.94,31.26,2200,Umsatzsteuer (UST),,,31.26,,,,,,,,,,,,,,,
,77,0,0,0,,,2024-02-14T00:00:00.000,,,77,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,163.91,,I81,,,8.10,8.10,151.63,12.28,2200,Umsatzsteuer (UST),,,12.28,,,,,,,,,,,,,,,
,78,0,0,0,,,2024-02-16T00:00:00.000,,,78,,,,,,,,"Iso Trade, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,170.40,,M81,,,8.10,8.10,157.63,12.77,2200,Umsatzsteuer (UST),,,12.77,,,,,,,,,,,,,,,
,79,0,0,0,,,2024-02-16T00:00:00.000,,,79,,,,,,,,"Iso Trade, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,430.30,,M81,,,8.10,8.10,398.06,32.24,2200,Umsatzsteuer (UST),,,32.24,,,,,,,,,,,,,,,
,80,0,0,0,,,2024-02-16T00:00:00.000,,,80,,,,,,,,"Iso Trade, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,798.25,,M81,,,8.10,8.10,738.44,59.81,2200,Umsatzsteuer (UST),,,59.81,,,,,,,,,,,,,,,
,81,0,0,0,,,2024-02-16T00:00:00.000,,,81,,,,,,,,Strassenverkehrsamt Kanton ZH,,1020,Bankguthaben,8100,Ausserordentlicher Ertrag ,129.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,0,0,0,,,2024-02-16T00:00:00.000,,,82,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,60.19,,I81,,,8.10,8.10,55.68,4.51,2200,Umsatzsteuer (UST),,,4.51,,,,,,,,,,,,,,,
,83,0,0,0,,,2024-02-19T00:00:00.000,,,83,,,,,,,,Migrolino,,5820,Spesen,1020,Bankguthaben,21.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,0,0,0,,,2024-02-19T00:00:00.000,,,84,,,,,,,,Obi,,4000,Materialaufwand Produktion,1020,Bankguthaben,35.85,,M81,,,8.10,8.11,33.16,2.69,2200,Umsatzsteuer (UST),,,2.69,,,,,,,,,,,,,,,
,85,0,0,0,,,2024-02-19T00:00:00.000,,,85,,,,,,,,Lidl,,5820,Spesen,1020,Bankguthaben,36.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,0,0,0,,,2024-02-19T00:00:00.000,,,86,,,,,,,,"Agrola, TS",,6210,Betriebsstoffe,1020,Bankguthaben,156.86,,I81,,,8.10,8.10,145.11,11.75,2200,Umsatzsteuer (UST),,,11.75,,,,,,,,,,,,,,,
,87,0,0,0,,,2024-02-19T00:00:00.000,,,87,,,,,,,,"Ammann+Schmit Ag, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,324.30,,V81,,,-8.10,-8.10,300.00,-24.30,2200,Umsatzsteuer (UST),,,-24.30,,,,,,,,,,,,,,,
,88,0,0,0,,,2024-02-19T00:00:00.000,,,88,,,,,,,,"Ammann+Schmit Ag, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,2648.45,,V81,,,-8.10,-8.10,2450.00,-198.45,2200,Umsatzsteuer (UST),,,-198.45,,,,,,,,,,,,,,,
,89,0,0,0,,,2024-02-19T00:00:00.000,,,89,,,,,,,,"Ammann+Schmit Ag, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,3459.20,,V81,,,-8.10,-8.10,3200.00,-259.20,2200,Umsatzsteuer (UST),,,-259.20,,,,,,,,,,,,,,,
,90,0,0,0,,,2024-02-20T00:00:00.000,,,90,,,,,,,,Denner,,5820,Spesen,1020,Bankguthaben,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,0,0,0,,,2024-02-21T00:00:00.000,,,91,,,,,,,,Bezug,,5820,Spesen,1020,Bankguthaben,300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,0,0,0,,,2024-02-21T00:00:00.000,,,92,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,466.95,,M81,,,8.10,8.10,431.96,34.99,2200,Umsatzsteuer (UST),,,34.99,,,,,,,,,,,,,,,
,93,0,0,0,,,2024-02-22T00:00:00.000,,,93,,,,,,,,"Bayar GmbH, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,864.80,,V81,,,-8.10,-8.10,800.00,-64.80,2200,Umsatzsteuer (UST),,,-64.80,,,,,,,,,,,,,,,
,94,0,0,0,,,2024-02-22T00:00:00.000,,,94,,,,,,,,"Bayar GmbH, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,2270.10,,V81,,,-8.10,-8.10,2100.00,-170.10,2200,Umsatzsteuer (UST),,,-170.10,,,,,,,,,,,,,,,
,95,0,0,0,,,2024-02-23T00:00:00.000,,,95,,,,,,,,Special Olympics,,6661,Sponsoring,1020,Bankguthaben,250.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,0,0,0,,,2024-02-23T00:00:00.000,,,96,,,,,,,,"Iso Trade, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,840.85,,M81,,,8.10,8.10,777.84,63.01,2200,Umsatzsteuer (UST),,,63.01,,,,,,,,,,,,,,,
,97,0,0,0,,,2024-02-23T00:00:00.000,,,97,,,,,,,,Immoturicum AG,,1020,Bankguthaben,3000,Bruttoertrag Arbeit,1297.20,,V81,,,-8.10,-8.10,1200.00,-97.20,2200,Umsatzsteuer (UST),,,-97.20,,,,,,,,,,,,,,,
,98,0,0,0,,,2024-02-26T00:00:00.000,,,98,,,,,,,,"SumUp, By Elvis",,5820,Spesen,1020,Bankguthaben,110.00,,I81,,,8.10,8.10,101.76,8.24,2200,Umsatzsteuer (UST),,,8.24,,,,,,,,,,,,,,,
,99,0,0,0,,,2024-02-26T00:00:00.000,,,99,,,,,,,,"Coop, TS",,6210,Betriebsstoffe,1020,Bankguthaben,167.26,,I81,,,8.10,8.10,154.73,12.53,2200,Umsatzsteuer (UST),,,12.53,,,,,,,,,,,,,,,
,100,0,0,0,,,2024-02-26T00:00:00.000,,,100,,,,,,,,Swiss Life,,5720,Berufliche Vorsorge,1020,Bankguthaben,300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,0,0,0,,,2024-02-26T00:00:00.000,,,101,,,,,,,,"Sarah Mäder, Miete Lager",,6000,Raumaufwand,1020,Bankguthaben,350.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,0,0,0,,,2024-02-26T00:00:00.000,,,102,,,,,,,,"ChaDev, Chad Saglam",,6570,"EDV Updates, Lizenzen, Wartung",1020,Bankguthaben,750.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,0,0,0,,,2024-02-26T00:00:00.000,,,103,,,,,,,,"Ammann+Schmit Ag, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,299.45,,V81,,,-8.10,-8.10,277.01,-22.44,2200,Umsatzsteuer (UST),,,-22.44,,,,,,,,,,,,,,,
,104,0,0,0,,,2024-02-26T00:00:00.000,,,104,,,,,,,,"Ammann+Schmit Ag, Ertrag",,1020,Bankguthaben,3000,Bruttoertrag Arbeit,1567.45,,V81,,,-8.10,-8.10,1450.00,-117.45,2200,Umsatzsteuer (UST),,,-117.45,,,,,,,,,,,,,,,
,105,0,0,0,,,2024-02-27T00:00:00.000,,,105,,,,,,,,Burger King,,5820,Spesen,1020,Bankguthaben,16.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,0,0,0,,,2024-02-27T00:00:00.000,,,106,,,,,,,,Tchibo,,5820,Spesen,1020,Bankguthaben,57.30,,I26,,,2.60,2.60,55.85,1.45,2200,Umsatzsteuer (UST),,,1.45,,,,,,,,,,,,,,,
,107,0,0,0,,,2024-02-28T00:00:00.000,,,107,,,,,,,,Parkhaus,,6006,"Mietzins, Garage, Parkplätze",1020,Bankguthaben,10.00,,I81,,,8.10,8.11,9.25,0.75,2200,Umsatzsteuer (UST),,,0.75,,,,,,,,,,,,,,,
